LinkID,FNode,Enode,Lanes,LinkType,RoadRank,RoadType,RoadNo,RoadName,RoadUse,MultiLink,Connect,MaxSpeed,Rvehicle,RestWeight,RestHeight,Length,MedianType,PaveType,SafetyZone,Intersect,SpeedBump,Curvature,Crosswalk,RWayCross,Shoulder,PocketLane,Averheight,SigLight,SlopePer,SlopeDeg,VulService,ConService,Remark,geometry
L233012310,N233016120,N233016110,1,4,6,일반도로,,역골동로,1,0,0,30,모두통행가능,0.0,0.0,7.451,,1,3,0,0,9999999.0,1.0,0,0,0,0,,-2.08,-1.192,1,0,생활보호구역,"LINESTRING Z (307501.501 4119596.737 78.606, 307506.498 4119591.209 78.451)"
L233012320,N233016120,N233016000,2,1,6,일반도로,,,1,0,0,50,모두통행가능,0.0,0.0,3.197,5,1,0,3,0,9999999.0,0.0,0,0,0,0,,3.535,2.024,1,0,중앙분리대/봉,"LINESTRING Z (307501.501 4119596.737 78.606, 307504.029 4119598.694 78.719)"
L233012330,N233017710,N233016270,2,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,39.311,,1,0,0,1,940.476,1.0,0,0,0,0,007,1.366,0.783,1,0,,"LINESTRING Z (307510.797 4119604.029 78.941, 307511.472 4119604.563 78.96, 307513.466 4119606.138 79.017, 307515.465 4119607.715 79.08, 307517.434 4119609.337 79.145, 307519.395 4119610.865 79.202, 307521.35 4119612.4 79.256, 307523.359 4119613.981 79.309, 307526.197 4119616.219 79.37, 307527.714 4119617.419 79.407, 307529.198 4119618.594 79.443, 307530.853 4119619.906 79.474, 307532.524 4119621.246 79.499, 307534.717 4119623.084 79.494, 307537.158 4119625.16 79.545, 307539.592 4119627.223 79.501, 307541.361 4119628.746 79.478)"
L233012340,N233016240,N233016170,1,4,6,일반도로,,역골로,1,0,0,30,모두통행가능,0.0,0.0,6.436,,1,3,0,0,9999999.0,1.0,0,0,0,0,,4.288,2.456,1,0,생활보호구역,"LINESTRING Z (307355.241 4119601.999 69.73, 307360.464 4119605.76 70.006)"
L233012350,N233016170,N233016280,1,4,6,일반도로,,역골중앙로41번길,1,0,0,50,모두통행가능,0.0,0.0,88.357,,1,0,0,0,3935.465,1.0,0,0,0,0,007,2.57,1.472,1,0,,"LINESTRING Z (307360.464 4119605.76 70.006, 307361.656 4119604.243 70.062, 307363.544 4119601.849 70.159, 307364.593 4119600.539 70.211, 307365.432 4119599.491 70.253, 307367.254 4119597.192 70.344, 307369.069 4119594.884 70.421, 307370.885 4119592.57 70.503, 307372.705 4119590.268 70.576, 307374.517 4119587.961 70.647, 307376.325 4119585.663 70.72, 307378.14 4119583.352 70.8, 307379.954 4119581.046 70.884, 307381.88 4119578.633 70.981, 307383.72 4119576.321 71.075, 307385.536 4119574.017 71.165, 307387.359 4119571.71 71.252, 307389.181 4119569.404 71.344, 307391.003 4119567.088 71.438, 307392.82 4119564.777 71.528, 307394.636 4119562.463 71.62, 307396.444 4119560.16 71.709, 307398.274 4119557.859 71.795, 307400.102 4119555.55 71.881, 307401.927 4119553.242 71.964, 307403.754 4119550.92 72.053, 307405.579 4119548.594 72.143, 307406.63 4119547.344 72.18, 307408.673 4119544.776 72.232, 307410.576 4119542.518 72.229, 307411.153 4119541.858 72.228, 307413.123 4119539.596 72.242, 307413.827 4119538.789 72.248, 307415.616 4119536.736 72.277)"
L233012360,N233016160,N233016150,1,4,6,일반도로,,역골로,1,0,0,30,모두통행가능,0.0,0.0,6.52,,1,3,0,0,9999999.0,1.0,0,0,0,0,,-1.794,-1.028,1,0,생활보호구역,"LINESTRING Z (307358.743 4119607.801 69.909, 307353.751 4119603.606 69.792)"
L233012370,N233016160,N233016170,1,1,6,일반도로,,역골로,1,0,0,50,모두통행가능,0.0,0.0,2.67,,1,0,3,0,9999999.0,0.0,0,0,0,0,,3.634,2.081,1,0,,"LINESTRING Z (307358.743 4119607.801 69.909, 307360.464 4119605.76 70.006)"
L233012380,N233016020,N233016200,1,4,6,일반도로,,역골동로36번길,1,0,0,30,모두통행가능,0.0,0.0,8.669,,1,0,3,0,440.828,1.0,0,0,0,0,007,2.411,1.381,1,0,생활보호구역,"LINESTRING Z (307548.811 4119623.834 79.231, 307548.771 4119623.885 79.234, 307546.878 4119626.21 79.335, 307546.581 4119626.575 79.351, 307544.716 4119628.925 79.39, 307544.34 4119629.399 79.398, 307543.388 4119630.598 79.44)"
L233012390,N233016270,N233016030,1,4,6,일반도로,,역골동로36번길,1,0,0,30,모두통행가능,0.0,0.0,8.479,,1,0,3,0,456.648,1.0,0,0,0,0,007,-3.22,-1.844,1,0,생활보호구역,"LINESTRING Z (307541.361 4119628.746 79.478, 307542.913 4119626.915 79.459, 307546.919 4119622.343 79.205)"
L233012400,N233016270,N233016200,2,1,6,일반도로,,,1,0,0,50,모두통행가능,0.0,0.0,2.746,,1,0,2,0,200.847,0.0,0,0,0,0,006,-1.384,-0.793,1,0,,"LINESTRING Z (307541.361 4119628.746 79.478, 307541.589 4119628.943 79.471, 307543.388 4119630.598 79.44)"
