StationID,StationLat,StationLon,StationX,StationY,StaName,SwalkWidth,existence,CurbHeight,CurbType,Fence,LinkID,StationDis,Remark,geometry
S413000200,36.5067321,127.2624477,344399,4041559,,10.4,1,0.15,3,0,L413001810,6.963,,POINT Z (344399.484350001 4041558.7163210004 0)
S413000210,36.4982765,127.26736,344823,4040613,,6.0,1,0.0,2,0,L413004610,14.54,,POINT Z (344822.5506955605 4040612.7314469954 0)
S413000220,36.4991013,127.2677322,344858,4040704,,5.2,1,0.0,2,0,L413003630,10.61,,POINT Z (344857.5290456257 4040703.637796989 0)
S413000230,36.4993242,127.2678436,344868,4040728,,4.8,1,0.0,2,0,L413003650,9.155,,POINT Z (344867.9521953276 4040728.181197156 0)
S413000240,36.5004202,127.2683736,344918,4040849,,4.0,1,0.0,2,0,L413003680,37.119,,POINT Z (344917.61126209504 4040848.9166208245 0)
S413000250,36.5010632,127.2686742,344946,4040920,,8.6,1,0.0,2,0,L413003700,23.995,,POINT Z (344945.8158368417 4040919.769737223 0)
S413000260,36.5014006,127.2688361,344961,4040957,,4.0,1,0.0,2,1,L413003740,16.693,,POINT Z (344960.9963951276 4040956.930596562 0)
S413000270,36.5022888,127.2692558,345000,4041055,,4.3,1,0.0,2,1,L413003450,7.997,,POINT Z (345000.35547491803 4041054.7955262824 0)
S413000280,36.5029675,127.2695621,345029,4041130,,6.0,1,0.0,2,1,L413003450,88.159,,POINT Z (345029.1406371469 4041129.601903532 0)
S413000290,36.503642,127.2698826,345059,4041204,,5.4,1,0.0,2,0,L413003800,15.886,,POINT Z (345059.18945181416 4041203.9150780323 0)
S413000300,36.5040172,127.2700017,345071,4041245,,5.6,1,0.0,2,0,L413004410,3.588,,POINT Z (345070.60553049104 4041245.3375540185 0)
S413000310,36.5033382,127.269697,345042,4041171,,6.0,1,0.0,2,0,L413003440,17.562,,POINT Z (345041.9632949256 4041170.5066182497 0)
S413000320,36.5026666,127.2693677,345011,4041097,,5.9,1,0.0,2,0,L413003440,97.73,,POINT Z (345011.1327426339 4041096.5275382968 0)
S413000330,36.501993,127.2690441,344981,4041022,,5.7,1,0.0,2,0,L413003480,22.667,,POINT Z (344980.80294822843 4041022.3211865765 0)
S413000340,36.5013182,127.2687244,344951,4040948,,5.7,1,0.0,2,0,L413004470,29.302,,POINT Z (344950.8239648938 4040947.9722320163 0)
S413000350,36.500643,127.2684057,344921,4040874,,0.0,1,0.0,2,0,L413003670,6.908,,POINT Z (344920.93623698596 4040873.5869197636 0)
S413000360,36.4999682,127.2680862,344891,4040799,,10.9,1,0.0,2,1,L413003410,12.472,,POINT Z (344890.96968881926 4040799.231572817 0)
S413000370,36.499289,127.2677814,344862,4040724,,6.6,1,0.0,2,1,L413004540,68.582,,POINT Z (344862.3164406975 4040724.3776390357 0)
S413000380,36.4985566,127.2674184,344828,4040644,,7.0,1,0.0,2,0,L413003570,3.379,,POINT Z (344828.3402955602 4040643.713246993 0)
S413000390,36.5023678,127.2687418,344954,4041064,,3.6,1,0.15,3,0,L413001760,40.239,,POINT Z (344954.47802045575 4041064.3845924484 0)
S413000400,36.5025914,127.2680161,344890,4041090,,3.6,1,0.15,3,0,L413001760,109.825,,POINT Z (344889.92150199984 4041090.357487 0)
S413000410,36.5029183,127.2669551,344796,4041128,,3.4,1,0.15,3,0,L413003840,38.408,,POINT Z (344795.5487110008 4041128.3373309975 0)
S413000420,36.5031242,127.2662877,344736,4041152,,7.0,1,0.15,3,1,L413004770,5.49,,POINT Z (344736.18389739376 4041152.257925099 0)
S413000430,36.5034089,127.2653645,344654,4041185,,9.9,1,0.15,3,0,L413002270,14.007,,POINT Z (344654.0696260003 4041185.3279079986 0)
S413000440,36.5036154,127.2646944,344594,4041209,,6.2,1,0.15,3,0,L413002270,78.26,,POINT Z (344594.4624110004 4041209.316747002 0)
S413000450,36.503967,127.2635545,344493,4041250,,5.8,1,0.15,3,0,L413002210,38.224,,POINT Z (344493.0742569434 4041250.1717709335 0)
S413000460,36.5041312,127.2630213,344446,4041269,국토교통부 후문,6.0,1,0.15,3,0,L413002210,89.345,,POINT Z (344445.6455060005 4041269.246365999 0)
S413000470,36.5043485,127.2623652,344387,4041294,,7.1,1,0.15,3,0,L413002170,14.821,,POINT Z (344387.3273264755 4041294.4130144604 0)
S413000480,36.5044553,127.2617619,344334,4041307,,3.7,1,0.15,3,0,L413002160,30.64,,POINT Z (344333.50000899937 4041307.2315920005 0)
S413000490,36.5041665,127.2627006,344417,4041274,,7.5,1,0.0,2,1,L413002220,15.548,,POINT Z (344417.0009100918 4041273.6745907953 0)
S413000500,36.5039079,127.2635394,344492,4041244,,6.4,1,0.15,3,1,L413002220,95.972,,POINT Z (344491.6050482881 4041243.63751465 0)
S413000510,36.5036494,127.2643781,344566,4041214,,6.0,1,0.15,3,1,L413004790,1.085,,POINT Z (344566.2086981982 4041213.5984588987 0)
S413000520,36.5033908,127.2652169,344641,4041184,,7.6,1,0.15,3,1,L413002280,20.259,,POINT Z (344640.81449289114 4041183.5642100526 0)
S413000530,36.5031322,127.2660556,344715,4041154,,7.4,1,0.15,3,1,L413002320,33.732,,POINT Z (344715.41655732645 4041153.5202427176 0)
S413000540,36.5028477,127.266979,344798,4041120,,3.4,1,0.15,3,0,L413005210,36.799,,POINT Z (344797.5451830002 4041120.4665369983 0)
S413000550,36.5026151,127.2677331,344865,4041093,,4.0,1,0.15,3,0,L413005190,34.553,,POINT Z (344864.62706211134 4041093.445839148 0)
S413000560,36.5023825,127.2684868,344932,4041066,,4.0,1,0.15,3,0,L413005190,106.833,,POINT Z (344931.6692190006 4041066.433032999 0)
S413000570,36.5023145,127.2608667,344249,4041071,,4.5,1,0.15,3,0,L413000540,40.215,,POINT Z (344249.037519408 4041071.182657146 0)
S413000580,36.5020772,127.2616365,344318,4041044,,6.3,1,0.15,3,0,L413000580,41.994,,POINT Z (344317.51297041506 4041043.611656901 0)
S413000590,36.501786,127.2625809,344402,4041010,,6.0,1,0.15,3,0,L413000580,132.548,,POINT Z (344401.508840999 4041009.779204 0)
S413000600,36.5015222,127.2634365,344478,4040979,,6.3,1,0.15,3,0,L413004730,26.908,,POINT Z (344477.61487899953 4040979.1296649994 0)
S413000610,36.5012542,127.2643064,344555,4040948,,6.5,1,0.15,3,0,L413004730,110.309,,POINT Z (344554.989097 4040948.0033430005 0)
S413000620,36.501028,127.2650392,344620,4040922,,6.6,1,0.15,3,0,L413000670,21.443,,POINT Z (344620.179134001 4040921.723828 0)
S413000630,36.5007363,127.2659855,344704,4040888,,4.0,1,0.15,3,0,L413000010,37.252,,POINT Z (344704.35109200014 4040887.8315940015 0)
S413000640,36.5005043,127.2667378,344771,4040861,,6.0,1,0.15,3,0,L413000010,109.393,,POINT Z (344771.27088468685 4040860.8853086117 0)
S413000650,36.5002517,127.267557,344844,4040832,국립세종도서관,6.6,1,0.15,3,0,L413000010,164.938,,POINT Z (344844.136645947 4040831.5361064374 0)
S413000660,36.5002486,127.2677655,344863,4040831,,6.6,1,0.15,3,0,L413001730,37.991,,POINT Z (344862.805425999 4040830.855664998 0)
S413000670,36.500377,127.2673486,344826,4040846,국립세종도서관,6.6,1,0.15,3,0,L413001730,77.969,,POINT Z (344825.71724999987 4040845.7770569995 0)
S413000680,36.5006338,127.2665158,344752,4040876,,6.3,1,0.15,3,0,L413001730,157.831,,POINT Z (344751.6372030007 4040875.611773 0)
S413000690,36.5009752,127.2654098,344653,4040915,,0.0,1,0.0,2,1,L413002440,11.08,,POINT Z (344653.2633574489 4040915.2625564192 0)
S413000700,36.5012336,127.264571,344579,4040945,,3.4,1,0.15,3,1,L413004760,73.936,,POINT Z (344578.64917069586 4040945.282169304 0)
S413000710,36.5014921,127.2637322,344504,4040975,,4.8,1,0.15,3,1,L413003880,7.858,,POINT Z (344504.0427401926 4040975.316381885 0)
S413000720,36.5018538,127.2625584,344400,4041017,,6.3,1,0.15,3,0,L413002420,38.779,,POINT Z (344399.6307004159 4041017.3413724 0)
S413000730,36.5020027,127.2620759,344357,4041035,,6.3,1,0.15,3,0,L413002420,85.049,,POINT Z (344356.71453899995 4041034.636833 0)
S413000740,36.5022996,127.2611139,344271,4041069,,6.0,1,0.15,3,0,L413002400,8.924,,POINT Z (344271.14978134027 4041069.1354828537 0)
S413000750,36.4981721,127.2666785,344761,4040602,,6.4,1,0.15,3,0,L413002610,46.709,,POINT Z (344761.29583300045 4040602.2501090006 0)
S413000760,36.4983777,127.2660115,344702,4040626,,6.3,1,0.15,3,0,L413001750,34.204,,POINT Z (344701.9636520009 4040626.131364997 0)
S413000770,36.4985475,127.2654607,344653,4040646,,6.0,1,0.15,3,0,L413001750,87.018,,POINT Z (344652.9723690003 4040645.857922 0)
S413000780,36.4989715,127.2640867,344531,4040695,,6.1,1,0.15,3,0,L413002550,42.477,,POINT Z (344530.75429199997 4040695.111559 0)
S413000790,36.4991217,127.2635993,344487,4040713,,6.0,1,0.15,3,0,L413002530,9.111,,POINT Z (344487.396286999 4040712.561318 0)
S413000800,36.4994787,127.2624404,344384,4040754,,6.0,1,0.15,3,0,L413002530,120.234,,POINT Z (344384.305635 4040754.039668 0)
S413000810,36.4996481,127.2618901,344335,4040774,,0.0,1,0.0,2,1,L413002510,7.862,,POINT Z (344335.35827982856 4040773.7267360585 0)
S413000820,36.4998468,127.2612476,344278,4040797,산업통상자원부 정문,6.2,1,0.15,3,0,L413002510,69.493,,POINT Z (344278.2108689996 4040796.8038370004 0)
S413000830,36.500135,127.2603125,344195,4040830,,6.0,1,0.15,3,0,L413002510,159.162,,POINT Z (344195.0288949178 4040830.2893178985 0)
S413000840,36.500206,127.2598818,344157,4040839,,6.0,1,0.15,3,0,L413004660,14.872,,POINT Z (344156.60087117297 4040838.859982134 0)
S413000850,36.4999197,127.2608137,344239,4040806,,6.0,1,0.15,3,0,L413004630,53.816,,POINT Z (344239.4935710003 4040805.589468001 0)
S413000860,36.499754,127.2613498,344287,4040786,,6.0,1,0.15,3,0,L413003900,11.422,,POINT Z (344287.1772009996 4040786.346834 0)
S413000870,36.4994309,127.2623984,344380,4040749,,6.0,1,0.15,3,0,L413002540,39.791,,POINT Z (344380.44865056174 4040748.8017785433 0)
S413000880,36.4991426,127.2633343,344464,4040715,,6.0,1,0.15,3,0,L413002540,129.533,,POINT Z (344463.70453699905 4040715.305347 0)
S413000890,36.4989138,127.2640759,344530,4040689,,9.3,1,0.15,3,1,L413002560,24.909,,POINT Z (344529.66701946757 4040688.7259843606 0)
S413000900,36.4986227,127.2650192,344614,4040655,,6.4,1,0.15,3,0,L413002600,39.984,,POINT Z (344613.5800464137 4040654.9119899 0)
S413000910,36.4983962,127.2657532,344679,4040629,,6.3,1,0.15,3,0,L413002620,30.795,,POINT Z (344678.8664955079 4040628.6025473704 0)
S413000920,36.4981601,127.266518,344747,4040601,,6.3,1,0.15,3,0,L413001740,11.769,,POINT Z (344746.8999399989 4040601.171032 0)
S413000930,36.4991774,127.2648035,344595,4040717,,6.3,1,0.15,3,0,L413005040,19.909,,POINT Z (344595.36182600056 4040716.7941989996 0)
S413000940,36.4994698,127.2649416,344608,4040749,,6.3,1,0.15,3,0,L413005040,54.639,,POINT Z (344608.31993000035 4040749.015878999 0)
S413000950,36.5003081,127.2653379,344645,4040841,,6.6,1,0.15,3,0,L413000160,32.651,,POINT Z (344645.48988400097 4040841.372335 0)
S413000960,36.5012887,127.2658019,344689,4040949,,6.8,1,0.15,3,0,L413004980,15.4,,POINT Z (344689.01271606935 4040949.416701579 0)
S413000970,36.5017191,127.2660056,344708,4040997,정부세종청사 중앙동,6.3,1,0.15,3,0,L413005010,8.852,,POINT Z (344708.11459999916 4040996.829365 0)
S413000980,36.5024943,127.2663719,344742,4041082,,6.6,1,0.15,3,0,L413000660,35.052,,POINT Z (344742.4659160003 4041082.241036 0)
S413000990,36.503047,127.2666335,344767,4041143,,0.0,0,0.0,,0,L413001270,3.055,,POINT Z (344767.0011889114 4041143.1372281057 0)
S413001000,36.5034982,127.2668469,344787,4041193,,6.6,1,0.15,3,0,L413001270,56.637,,POINT Z (344787.01491100097 4041192.841016999 0)
S413001010,36.5044238,127.2672841,344828,4041295,공정거래위원회,6.3,1,0.15,3,0,L413001350,14.062,,POINT Z (344828.01860000077 4041294.830992001 0)
S413001020,36.5048242,127.267474,344846,4041339,,6.5,1,0.15,3,0,L413000500,19.437,,POINT Z (344845.82560700027 4041338.9389289995 0)
S413001030,36.5049075,127.2674014,344839,4041348,,6.6,1,0.15,3,0,L413004860,0.542,,POINT Z (344839.496521902 4041348.2997292285 0)
S413001040,36.5044198,127.267171,344818,4041295,공정거래위원회,6.7,1,0.15,3,0,L413000510,31.605,,POINT Z (344817.88116399996 4041294.56142 0)
S413001050,36.5035576,127.2667633,344780,4041200,,9.0,1,0.15,3,1,L413004900,22.741,,POINT Z (344779.6445326369 4041199.565650078 0)
S413001060,36.5028826,127.2664441,344750,4041125,,9.7,1,0.0,2,0,L413001250,13.477,,POINT Z (344749.7092700027 4041125.200308468 0)
S413001070,36.5021718,127.266108,344718,4041047,정부세종청사 중앙동,9.2,1,0.15,3,0,L413004950,0.921,,POINT Z (344718.19091500086 4041046.8847399987 0)
S413001080,36.5015326,127.2658059,344690,4040976,,6.3,1,0.15,3,1,L413005000,16.895,,POINT Z (344689.8554242882 4040976.4617086537 0)
S413001090,36.5005331,127.2653328,344645,4040866,,6.8,1,0.15,3,0,L413005030,17.314,,POINT Z (344645.48516099923 4040866.344928998 0)
S413001100,36.5001305,127.2651424,344628,4040822,,6.6,1,0.15,3,0,L413005030,65.136,,POINT Z (344627.62247700035 4040821.984231998 0)
S413001110,36.4992278,127.2647156,344588,4040723,문화체육관광부,8.3,1,0.15,3,0,L413001080,28.708,,POINT Z (344587.5969682151 4040722.531918767 0)
S413001120,36.4988328,127.2645287,344570,4040679,,0.0,0,0.0,,0,L413000790,0.256,,POINT Z (344570.0621765043 4040679.009880888 0)
S413001130,36.5057268,127.2648276,344611,4041443,,6.4,1,0.15,3,1,L413004100,16.781,,POINT Z (344610.6154447999 4041443.33691989 0)
S413001140,36.5050479,127.2645236,344582,4041369,,5.8,1,0.0,2,0,L413000440,25.341,,POINT Z (344582.03122164746 4041368.514110941 0)
S413001150,36.5043732,127.2642036,344552,4041294,,4.5,1,0.0,2,0,L413000440,105.504,,POINT Z (344552.0238350722 4041294.1788903154 0)
S413001160,36.5036986,127.2638831,344522,4041220,,7.5,1,0.2,3,1,L413000970,10.709,,POINT Z (344521.96531266987 4041219.8651212314 0)
S413001170,36.5030227,127.2635672,344492,4041145,,6.0,1,0.15,3,0,L413000930,12.136,,POINT Z (344492.323757089 4041145.3829469015 0)
S413001180,36.5023467,127.2632513,344463,4041071,,6.0,1,0.0,2,1,L413005080,18.097,,POINT Z (344462.68194264633 4041070.9001222146 0)
S413001190,36.5016709,127.2629348,344433,4040996,,0.0,0,0.0,,0,L413001420,0.622,,POINT Z (344432.97687440756 4040996.441887254 0)
S413001200,36.5060596,127.2619415,344353,4041485,,8.7,1,0.15,3,0,L413003180,35.198,,POINT Z (344352.8008996805 4041484.922626939 56.825)
S413001210,36.5051467,127.2617031,344330,4041384,정부세종청사 북측,8.2,1,0.15,3,0,L413003000,37.23,,POINT Z (344329.6236900822 4041384.034892243 56.489)
S413001220,36.5046403,127.2614847,344309,4041328,,0.0,0,0.0,,0,L413002900,1.652,,POINT Z (344309.05119136313 4041328.206185746 0)
S413001230,36.5040762,127.2612162,344284,4041266,정부세종청사 북측,17.1,1,0.15,3,0,L413003210,16.007,,POINT Z (344283.8729178578 4041266.0634516245 56.215)
S413001240,36.5030223,127.2607219,344237,4041150,,8.5,1,0.15,3,0,L413003110,41.914,,POINT Z (344237.4856203718 4041149.943212879 55.866)
S413001250,36.5028518,127.2606414,344230,4041131,,8.5,1,0.15,3,0,L413003110,21.67,,POINT Z (344229.93980264856 4041131.1577770314 55.815)
